username,tanggal,review,Label
dwy prasetyo,15/07/2022,"Wisata alam yang sangat menyenangkan, lebih bagus datang pas week day jadi gk terlalu ramai jadi bisa menikmati sunrise tanpa berdesakana",1
Stevanus Sukardi Ruata,15/07/2022,Tempatnya Seru! Dan Seger Menghirup Angin Gunung!!!,1
Christ Hazaki,15/07/2022,"Pemandangan yg indah walaupun gk dapet sunrise 😂 Surabaya - Bromo hujan terus mulai jam 5 pagi, udah sering ke sini tapi gk bakal bosen , oh iya untuk tiket diwajibkan beli online ya minimal 1 hari sebelum berangkat, pagi tadi suhu mencapai 14-15° itu barengan dengan hujan 🥶🥶 …",1
Aprizal Sakha,15/07/2022,Gunung yang Menunjukan bahwa Kebesaran Allah Swt.,1
Hartoyo,15/07/2022,Pemandangan bagus,1
Genjun Junaedy,15/07/2022,"Sangat bagus, tidak pernah bosan meski sering ke sana",1
Aku Febriawan,15/07/2022,"wisata alam yang sangat keren, semoga bisa kesini lagi",1
Kurdobln,15/07/2022,"Sorotan mutlak di Jawa, pendakian ke kawah gunung berapi agak mudah. Setelah di atas Anda dapat mendengar dan melihat seberapa aktif gunung berapi itu. Saya tidak akan merekomendasikan berjalan di sekitar kawah karena bisa sangat b …",1
sakti kurnia nasution,15/07/2022,Indahnya cipta dan kuasa Tuhan,1
Wini Eunike,15/07/2022,Pengalaman yang menyenangkan menjelajahi wisata Gunung Bromo. Semakin dilestarikan dan dijaga keberadaan lingkungan sekitar.,1
Navynav az,15/07/2022,"baru pertama kali ke Bromo,cantik banget gunung nya",1
Fatimah DuLhamid,15/07/2022,"Keren abis...ya walau cuaca panas akhir sampai juga ke kawah nya,kalau naik kuda sih mungkin lebih cepat...tapi saya suka jalan dari parkiran mobil Jeep,mungkin Jia kesana nya cuaca hujan lebih dingin... …",1
Jayanti 80,15/07/2022,Wisata alam yg luar biasaa.....👍🏽👍🏽👍🏽👍🏽 …,1
brama deka oktora,15/07/2022,Cocok buat yg punya banyak masalah,1
Yudha Ahmad,15/07/2022,keindahan yang tudak pernah salah,1
Alf Bantani,15/07/2022,"Tempat yg indah dan bagus tp sygnya jln menuju lokasi pasir dibuat tdk landai agar hny kendaraan tertentu yg disewa yg bisa lewat.  Hati2 sama calo sewa kendaraan menjelang pintu masuk,  sebaiknya parkir dulu saja dan lihat biaya sewa di google.",0
Aji Nugroho,15/07/2022,Idah suasana pagi menjadi daya tarik tersendiri di gunung bromo,1
Ken Zo,15/07/2022,Istimewah,1
Artina Vita Ningrum,15/07/2022,Ke bromo waktu kkn tahun 2013  perjalanan sangat mengesankan,1
Tarno Novan,15/07/2022,"Tempat yang indah,,,",1
Ardi ansyah,15/07/2022,kapan kapan kesini lagi deh ya,1
ridwan sinyo,15/07/2022,Tempat wisata populer di Jatim nasional park Bromo Tengger Semeru.,1
Wawan Kondangiwak,15/07/2022,"Sedap bau belerang,,,",0
NUNGKY ASTRIDHA,15/07/2022,"Setelah sekian lama, akhirnya kesampeam juga k Bromo..
Lumayan jauh dr Pekalongan, dan lelah pun terbayar oleh pemandangan yg indah..",1
Sabrina Putri,15/07/2022,Pemandangannya sangat indah,1
Farid Krisdianto,15/07/2022,Pengen semedi,1
riyanti kusuma,15/07/2022,Kalau ke bromo naik jeep maksimal jam 2 sdh berangkat naik yaa..karena masih harus jalan kaki naik ke puncak buat lihat sunrise nya..meski bisa naik ojek.,1
Heru Trihandoko,15/07/2022,Panorama alam sangat eksotik.,1
Batik Te'ye'ng,15/07/2022,Indahnya alam gunung Bromo,1
Atok Aminulloh,15/07/2022,Seru,1
Telerr Bastard71,15/07/2022,Sangat menyenangkan dan rekomendasi banget untuk healing bersama teman,1
Abyan Zaenal,15/07/2022,"Good recommended, destinasi wisata alam gunung bromo diantara 4 daerah yakni Malang Lumajang Probolinggo Pasuruan
Gunung berapi aktif berbentuk corong  dan di kelilingi lautan pasir",1
Adwitya Galuh,15/07/2022,Pemandangan yang bagus dan menarik suasananya dan ramai,1
aeisy 13,15/07/2022,Kereen,1
difi moza,15/07/2022,"Tempatnya bagus dan indah, tp kalau kesini disarankan buat pakai masker ya karna berdebu banget kan gunung pasir gt, terus ada juga tempat makan yg enak di sekitar gunung Bromo ini yg sistem nya kyk prasmanan gt dan teh angetnya enak banget jadi pas sama suasana dinginnya udara pagi bromo",1
Yuhanto Ari Nugroho,15/07/2022,Mantapp pagi jam 3 berangkat samap atas jam 5 ann,1
Piknik Butuh,15/07/2022,Pemandangan yang indah banget,1
sadayuki matsuoka,15/06/2022,"Ini adalah pemandangan yang indah. Butuh waktu untuk mendaki, dan saya merasa senang b …",1
Dina Mulya,15/06/2022,"gunung yang indah, suhu dingin sekali ketika saya kesana bulan agustus, makan mie kuah di warung setelah penanjakan sunrise mantap sekali. Sopir jeep sangat ramah memberikan informasi terkait sekitar.",1
Bong Tjandra,15/06/2022,Keren pemandangannya,1
Masykur Fitriawan,15/06/2022,Gunung fenomenal yang pernah saya kunjungi sampai di puncak kawah jalan dilautan pasir dan menaiki 250 anak tangga. Luar biasa capeknya,1
ian nayaka,15/06/2022,Mantabbz,1
arief dzaki,15/06/2022,Mantap,1
Rafasa BSV,15/06/2022,"Bagi yg trip ke bromo, saya sarankan utk hati di kawah. serta untuk nyewa jeep harus tanya dengan detail sama drivernya",1
Dimas Eko,15/06/2022,"Sejuk ,pengen kesini lagi",1
javanese boat,15/06/2022,Untuk perjalanan terbaru anda harus mendaftar secara online ..,1
Wulan Echa,15/06/2022,"Suasana yg ngga pernah bikin bosen, slalu bikin kangen pengen balik lagi dan harus bisa balik lagi kesana...",1
Leo Pulung Baskoro,15/06/2022,"Kangen tempat ini, 😭😭😭 …",1
Yogi Adi Prasetyo,15/06/2022,Tempat indah yang layak dinikmati bersama para sahabat,1
Yudi Maulana Ali,15/06/2022,Pengalaman tak terlupakan saat pergi ke tempat ini. Bromo adalah destinasi pilihan untuk memanjakan mata. Akses bisa dilalui melalui banyak rute. Ada yang terjal dan ada yang lebih aman. Disarankan melewati akses yang lebih aman dan …,1
Ahmad,15/06/2022,Untuk sampai ke sini dari parkiran lumayan jauh. Saran saya sewa kuda saja. Nanti diantar sampai tepat di bawah tangga Bromo. Setelah itu baru lanjut menaiki anak tangga sampai puncak. Pemandangannya bagus sekali kalau dari atas. Bisa ambil …,0
ARIF BAYU SAPUTRO,15/06/2022,Bagus tempat nya,1
Toppo Nuryanto,15/06/2022,"Menurutku lokasi menantang, hanya saja maaf banget ya, kenapa sekarang jalurnya dikuasai sama mobile hartop sama Jeep, kami yang pakai mobil pribadi Ndak bisa sampai lokasi parkir terakhir. Buat pemerintah atau siapa saja yang berkepentingan mohon kerjasamanya, kami ingin kenyamanan dilokasi bukan kerumitan diperjalanan...",0
Fiki Ahmad Khoeruman,15/06/2022,Sebagian Anugrah Alloh yg terindah,1
Intan Nirmala Dewi,15/06/2022,"Tempatnya sangat Indah,  apalagi saat menanti sunrisenya, 🤩😍😍 see u next time bromo …",1
Kahfi Supriyadi,15/06/2022,Ok bisa d arahkan,1
ROMA ULI,15/06/2022,Sungguh indah....😍😍😍 …,1
Rika Imam Fauzi,15/06/2022,Panas banyak sampah,0
rengga trianto,15/06/2022,Pengalaman yg menakjubkan dan tak terlupakan di Bromo. Pemandangan yang begitu memukau mata,1
Muhammad Fawwaaz Fathiin Hidayat,15/06/2022,Baru mau ke sana,1
Guruh Kartiko Hadi,15/06/2022,Super sekali.....👍 …,1
Aretha Neelam,15/06/2022,"indah bangeeet, liburan yg seruuu",1
Bumi Rahmatussyifa,15/06/2022,wajib kesini ga perlu mikir 2kali👍🏻👍🏻👍🏻 …,1
Afga Ivangga,15/06/2022,Bahagia,1
Leo Wiliyana,15/06/2022,Sangat bagus dan indah,1
Waskara Waskara,15/06/2022,Karunia Tuhan yg begitu indah,1
Sea BomBlue,15/06/2022,Tempat menakjubkan di mana alam memiliki yang terbaik. Untuk mengunjungi benar-benar.,1
Tri Tofawan,15/06/2022,Keren,1
Zaenal Mustakim,15/06/2022,Lukisan Alam,1
Ariff Hidayatullah,15/06/2022,Gunung yg sangat indah,1
Iva Kurniawati,15/06/2022,Amazing.... subhanallah....indah sekali👍👍💯 …,1
Satrio Liud,15/06/2022,"Tempat healing dengan pemandangan menarik.,dan spot spot healing yg banyak.",1
Wulan Dian,16/05/2022,Bromo... gunung yg sangat cantik dan indah. Pemandangannya luar biasa kerreeen. Terimakasih Tuhan buat ciptaanMU😍😘👼🙏 …,1
Sri Ayu Lestari,16/05/2022,Tempat yang sangat indah untuk berwisata dan penduduknya jg sangat ramah,1
Dhie Haryadi,16/05/2022,"MashaaAllah,,, ini yang ke 3 kalinya dan masih pengen kesini lagi",1
Andrie Nov,16/05/2022,"Bagus bgt pemandangan, adem seger . Keren mantap pokoknya 👍 …",1
erik setiawan,16/05/2022,Seger guys pemandangannya bagus buat untuk foto,1
Dian Novita,16/05/2022,"Keren.
Padang pasir dan pegunungan yg ok.
Langit dan awan yg menyatu.
Top banget lah buat yg suka touring",1
Kang Review,16/05/2022,Selalu ngangenin,1
Iwan Kurniawan,16/05/2022,"Salah satu spot area Bromo ( Pura Luhur dan Kawah Bromo ). Salah satu anugerah alam yang sangat indah dari sang pencipta..Menuju ke sini bisa sewa jeep, bawa kendaraan pribadi ( Motor atau Mobil ). Ada parkiran kok..Yang mau sewa kuda jg …",1
Nanang akhmad,16/05/2022,Seperti gunung berapi pada umumnya. Hanya saja kalau mau mendaki ke puncak tidak terlalu jauh karena utk ke area gunung bromo kita bisa naik Jeep kemudian berganti dengan kuda sampai di dekat anak tangga yg menuju puncak gunung bromo. …,1
Herlangga Hadiwijaya,16/05/2022,"Luar biasa, tidak dapat di sampaikan kata kata rasa kepuasan hati saat Healing di gunung bromo .",1
FJ Saputra,16/05/2022,"kawasan wisata yang berada di Jawa Timur

-FJ Saputra-",1
Febrianto Nofan,16/05/2022,"Bahagia tidak harus mewah.
Indonesia surga. …",1
hari solo,16/05/2022,"Untuk plat luar kota mendingan jangan kesini, semuanya di buat mahal .. wisatanya juga cuman itu doang",0
Fatimah Putri Utami,16/05/2022,"Masya Allah sungguh indah Kawah Gunung bromo ciptaan Allah...
Kesini bawalah jaket tebal, masker dan kacamata (banyak pasir berbisik berterbangan), sarung tangan, dan Kamera yang bagus...",1
Harki Tunas,16/05/2022,So amazing dengan karya Tuhan. Begitu indah begitu mempesona. Enjoy BTS (Bromo Tengger Semeru).,1
Ciprut Peseg,16/05/2022,Senang syekaliii,1
LD Mardani,16/05/2022,Viewnya bener-bener bagus banget alhamdulillah masih bisa liat sunset yg begitu indah di alam gn. Bromo...terakhir kali ketempat ini tahun 2019.,1
Syakur Tombo,16/05/2022,pemandangan samgat indah,1
Kusumo Wardoyo Cahyo Nugroho,16/05/2022,"Dari parkiran menuju puncak bromo perlu usaha keras jika berjalan kaki, tapi setelah sampai puncak lelah terbayarkan.
Jika gak mau capek bisa sewa kuda. …",1
Dwi supriyanto,16/05/2022,"Keagungan alloh yang maha besar suasananya kaya disyurga dunia masya alloh,alhamdulillah aku bisa berwisata alam digunung bromo.🤲🤲 …",1
Totok Sumariyanto,16/05/2022,Bersama PIF(PAJERO INDONESIA FAMILY)..gass polll BROMO,1
Rudy Hartoko,16/05/2022,"Menunggu Sun Rise
Di Bukit Cinta..Bromo",1
Abdul ajis Ajis,16/05/2022,Jelek,0
Dwi Wisoeda,16/05/2022,"Luar biasa, never end journey",1
Yohanes Sugianto,16/05/2022,"Waduh lihat banyak nya bintang 1 dan banyak nya biaya , koq takut mau berkunjung ke bromo",0
Ratna Dewi,16/05/2022,Subhanallah indah nya ciptaan Allah SWT,1
muhamad mulyadi,16/05/2022,Tempat nya dingin bagett,0
Sabrang Lor,16/05/2022,Sangat indah sekali pemandangannya saat di lihat dari ketinggian,1
Dinda Zuhroh,16/05/2022,MasyaAllah sungguh indah ciptaan Tuha …,1
